AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio
138.9KWH (+ 0.0 KWH) ,234.3KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:42:54 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.3KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:47:54 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.3KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:52:54 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.4KWH (+ 0.1 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:57:54 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.4KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:02:55 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.4KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:07:55 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.5KWH (+ 0.1 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:12:55 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.5KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:17:55 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.5KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:22:55 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.5KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:27:56 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.5KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:32:56 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.1 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:37:56 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:42:56 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:47:57 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:52:57 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,06:57:57 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.6KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,07:02:57 a.m,06,marzo,2020
